,repo_name,topics
124,Hidorikun/Faculty,"['java', 'assembly-x86', 'lisp', 'prolog', 'csharp', 'python', 'c', 'matlab']"
125,neogeodev/FusionConverter,"['mvs', 'aes', 'neogeo', 'snk', 'converter', 'cpld', 'logic', 'pcb']"
126,krismuniz/js-to-json-logic,"['json', 'json-logic', 'js-to-json', 'js-to-json-logic', 'logic', 'nodejs', 'javascript']"
127,DanielBrito/ufc,"['compiler', 'computer-graphics', 'mobile-development', 'data-structures', 'database', 'logic', 'number-theory', 'linear-algebra', 'software-engineering', 'web-development', 'competitive-programming', 'ui-ux', 'functional-programming', 'operating-system', 'mathematics']"
128,maciej-nowak/DP-Film-Expert-System,"['declarative-programming', 'logic-programming', 'expert-system', 'prolog-rules', 'prolog', 'film-expert', 'university']"
129,byt3n33dl3/httpX,"['domain', 'fuzzing', 'httpx', 'linux', 'logic', 'offensive-security', 'penetration-testing', 'server', 'takeover', 'web']"
130,italankin/15Puzzle,"['java', 'android', 'puzzle', 'game', '15', 'fifteen', 'logic', '15puzzle']"
131,namin/logically,"['clojure', 'prolog', 'abstract-interpretation', 'metaprogramming', 'logic-programming', 'paper-implementations', 'binders']"
132,fnogatz/tap,"['swi-prolog', 'prolog', 'tap']"
133,alhassy/PrologCheatSheet,"['prolog', 'cheatsheet', 'relational-programming', 'pdf', 'html', 'emacs']"
134,JCumin/Brachylog,"['swi-prolog', 'language', 'code-golf', 'declarative', 'logic-programming', 'golfing-language', 'prolog']"
135,jrclogic/SMCDEL,"['model-checking', 'symbolic', 'logic', 'epistemic-logic', 'haskell']"
136,Pufcorina/UBB-Computer-Science,"['java', 'python', 'c', 'css', 'html', 'csharp', 'cpp', 'lisp', 'prolog', 'ubb', 'computer-science']"
137,racuna1/cse240-public,"['cse240', 'arizona-state-university', 'c', 'cpp', 'scheme', 'prolog', 'magic']"
138,karlstroetmann/Logic,"['logic', 'python', 'z3-prover']"
139,courses-at-nju-by-hfwei/problem-solving-class-lectures,"['lecture-notes', 'course-materials', 'linear-programming', 'group-theory', 'number-theory', 'nanjing-university', 'computational-complexity', 'logic', 'set-theory', 'discrete-mathematics', 'discrete-probability', 'algorithms', 'abstract-algebra', 'graph-theory', 'nju-courses']"
140,nicoladileo/NephroDoctor,"['artificial-intelligence', 'expert-system', 'medical-informatics', 'prolog-programming-language', 'prolog-interpreter', 'inference-engine', 'knowledge-base', 'rule-based', 'uncertainty']"
141,sebdumancic/pylo2,"['prolog', 'logic-programming', 'artificial-intelligence']"
142,sneeuwballen/zipperposition,"['prover', 'superposition', 'ocaml', 'experimental', 'logic', 'computer-science-algorithms', 'prototype', 'induction', 'polymorphism', 'rewriting', 'cnf', 'symbolic-computation', 'saturation']"
143,seanpm2001/AI2001,"['ai', 'artificial-intelligence', 'c', 'cython', 'gpl3', 'gplv3', 'home', 'home-repo', 'home-repository', 'homepage', 'julia', 'md', 'prolog', 'python', 'r', 'txt', 'ai-2001', 'ai2001', 'artificial-intelligence-2001']"
144,Aluriak/clyngor,"['answer-set-programming', 'wrapper', 'python', 'python-library', 'python3']"
145,jondot/hypermatch,"['nodejs', 'javascript', 'logic', 'rule-engine', 'matching']"
146,mumuki/mulang,"['mumuki', 'code-analysis', 'ast', 'haskell', 'static-analysis', 'inspection', 'languages', 'educational', 'mulang-ast', 'functional', 'object-oriented', 'logic-paradigm', 'prolog', 'java', 'ruby', 'javascript', 'python', 'nodejs', 'browser']"
147,sreahw/schuller-geometric,"['logic', 'notes', 'truth', 'axioms', 'sets', 'classification', 'topology', 'homotopy', 'manifolds', 'bundles', 'lie', 'curves', 'physics', 'geometry', 'algebras', 'dynkin']"
148,MartimVideira/PFL-Exercises,"['haskell', 'exercises', 'prolog']"
149,norswap/prolog-dry,"['prolog', 'logic-programming', 'dcg', 'backtracking']"
150,blenderskool/lexico,"['data', 'dsl', 'extended', 'fuzzy', 'hacktoberfest', 'logic', 'operators', 'search', 'indexes']"
151,angrysky56/mcp-logic,"['llm', 'logic', 'tool', 'ai', 'claude-3-5-sonnet', 'server', 'mcp-server']"
152,AndreaInfUFSM/elc117-2024b,"['concurrent-programming', 'functional-programming', 'haskell', 'java', 'liascript-course', 'logic-programming', 'object-oriented-programming', 'programming-paradigms', 'prolog']"
153,s-webber/projog,"['prolog', 'java', 'prolog-interpreter']"
154,aartikis/RTEC,"['logic-programming', 'data-stream-processing', 'artificial-intelligence', 'data-science', 'complex-event-processing', 'multi-agent-systems', 'stream-reasoning', 'stream-processing', 'cep', 'event-calculus', 'prolog', 'complex-event-recognition']"
155,CompSciCabal/reading-material,"['computer-science', 'type-theory', 'logic-programming', 'tar-pit', 'stealthy-trojans', 'pf-pl']"
156,freand76/digsim,"['logic', 'python', 'simulation', 'simulator', 'vcd', 'verilog', 'yosys', 'rtl']"
157,rntz/minikanren-datalog,"['datalog', 'minikanren', 'logic-programming', 'kanren']"
158,opencog/atomspace,"['graph-database', 'knowledge-representation', 'query-engine', 'logic-programming', 'knowledge-graph', 'knowledge-base', 'query-language', 'relational-database', 'relational-algebra', 'rewrite-system', 'rewriting', 'graph-rewriting', 'atomspace']"
159,slovnicki/pLam,"['lambda-calculus', 'programming-language', 'computability-theory', 'numeral-systems', 'logic-programming', 'church', 'church-encoding', 'interpreter', 'language', 'lambda', 'computability', 'functional-programming']"
160,MuhammadSulaiman001/prolog-lab,"['learn-prolog', 'logic-programming', 'prolog', 'prolog-exercises', 'swi-prolog', 'logic', 'logical-programming', 'logical-programming-language', 'prolog-programming-language']"
161,chessai/hsdatalog,"['compiler', 'bdd', 'relational-algebra', 'relational-databases', 'datalog', 'logic-programming']"
162,VictorYudin/switch,"['usd', 'appveyor', 'game', 'logic', 'opengl']"
163,lps-js/lps.js,"['javascript', 'production-systems', 'library', 'lps', 'artificial-intelligence', 'logic', 'interpreter', 'language', 'ai', 'languages', 'programming-language', 'prolog']"
164,KovtunV/NoStringEvaluating,"['math', 'mathematics', 'mathematical-expression', 'expressions', 'parser', 'formula', 'evaluator', 'calculator', 'solve', 'calculation', 'logic', 'condition', 'custom', 'function', 'math-parser', 'expression-evaluator', 'formula-parser', 'object-pooling', 'nostring', 'rpn']"
165,triska/letswicrypt,"['swi-prolog', 'prolog', 'https', 'https-server']"
166,knowsys/nemo,"['datalog', 'rule-engine', 'language', 'logic', 'logic-programming', 'rdf', 'knowledge-graph']"
167,sdiehl/picologic,"['picosat', 'sat-solver', 'haskell', 'haskell-library', 'logic']"
168,namin/clpsmt-miniKanren,"['scheme', 'minikanren', 'logic-programming', 'constraints', 'smt']"
169,guregu/predicates,"['go', 'prolog', 'dynamodb']"
170,joshuaguerin/Answer-Set-Programming-Algorithms,"['answer-set-programming', 'clingo', 'algorithms', 'education', 'logic-programming', 'logic', 'np-complete', 'np-hard', 'computer-science', 'language', 'algorithm', 'constraint-satisfaction-problem', 'constraint-programming']"
171,Valian/python-business-logic,"['logic', 'business-logic', 'business-rules', 'python']"
172,kovvalsky/LangPro,"['nli', 'natural-language-inference', 'semantic-tableau', 'theorem-prover', 'theorem-proving', 'natural-logic', 'natural-tableau', 'lambda-logical-form', 'natural-language-processing', 'formal-semantics', 'prolog']"
173,maheshabburi4/IITH-BTECH-Courses,"['cool-compiler', 'prolog', 'eiffel', 'os', 'computer-architecture', 'discrete-mathematics', 'principles-of-programming-languages', 'data-structures-and-algorithms']"
174,joes-esolangs/cassette,"['concatenative', 'functional-programming', 'homoiconic', 'interpreter', 'metaprogramming', 'programming-language', 'programming-languages', 'prolog', 'tape-based', 'untyped']"
175,xieyuheng/exo,"['logic-programming', 'elixir', 'minikanren', 'microkanren', 'the-reasoned-schemer']"
176,logicmoo/CYC_JRTL_with_CommonLisp,"['common-lisp', 'opencyc', 'cyc', 'prolog-programming-language', 'lisp-interpreter', 'artificial-intelligence', 'natural-language-processing', 'logic-programming', 'abcl', 'artificial-general-intelligence', 'cyc-jrtl']"
177,LittleLollipop/LBox,"['android', 'utils', 'logic']"
178,ptarau/TypesAndProofs,"['intuitionistic-logic', 'theorem-prover', 'type-inference', 'curry-howard-isomorphism', 'prolog', 'lambda-terms', 'random-binary-tree', 'random-set-partition', 'tautology-checking', 'de-bruijn-notation', 'beta-reduction', 'all-binary-trees-generator', 'all-set-partitions-gnerator', 'remy-s-algorithm', 'knuth-s-algorithm-r', 'boltzmann-sampler', 'normal-forms']"
179,friguzzi/cplint,"['probabilistic-programming', 'logic-programming', 'probabilistic-logic-programming', 'machine-learning', 'inductive-logic-programming', 'prolog']"
180,graphs4value/refinery,"['graphs', 'modeling', 'logic']"
181,maebert/prolog_puzzles,"['prolog', 'exercise', 'prolog-puzzles', 'puzzle', 'cognitive-science']"
182,garciparedes/prolog-examples,"['prolog', 'examples', 'university', 'logic-programming', 'university-of-valladolid']"
183,Tractables/LogicCircuits.jl,"['logic', 'logic-circuits', 'logical-reasoning', 'automated-reasoning', 'julia']"
184,SWI-Prolog/swipl-devel,"['swi-prolog', 'prolog', 'logic-programming']"
185,typedb/typeql,"['reasoning', 'query-language', 'query', 'inference', 'logic', 'database', 'typedb', 'typeql', 'type-system', 'strongly-typed', 'polymorphic', 'polymorphism']"
186,neogeodev/NeoChips,"['neogeo', 'clone', 'chips', 'asic', 'snk', 'preservation', 'repair', 'fix', 'gerber', 'electronics', 'pcb', 'layout', 'verilog', 'logic', 'cpld', 'fpga', 'neo-geo', 'arcade']"
187,ostis-ai/scl-machine,"['logic', 'logic-programming', 'ostis', 'logic-inference']"
188,jariazavalverde/fasill,"['logic-language', 'logic-programming', 'fuzzy-logic', 'fuzzy-connectives', 'prolog', 'language-design']"
