name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
lodash/lodash,59853,7029,831,2012-04-07,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,True,lodash,JavaScript,
medikoo/log,43,1,4,2017-09-05,"Universal logging utility",https://github.com/medikoo/log,False,medikoo,JavaScript,
sindresorhus/log-symbols,744,33,9,2014-07-10,"Colored symbols for various log levels",https://github.com/sindresorhus/log-symbols,False,sindresorhus,JavaScript,
sindresorhus/log-update,1096,40,11,2015-08-16,"Log by overwriting the previous output in the terminal. Useful for rendering progress bars, animations, etc.",https://github.com/sindresorhus/log-update,False,sindresorhus,JavaScript,
winstonjs/logform,250,97,10,2017-09-27,"An mutable object format designed for chaining & objectMode streams",https://github.com/winstonjs/logform,True,winstonjs,JavaScript,
pimterry/loglevel,2612,157,41,2013-03-23,":ledger: Minimal lightweight logging for JavaScript, adding reliable log level methods to wrap any available console.log methods",https://github.com/pimterry/loglevel,False,pimterry,JavaScript,
techfort/LokiJS,6749,481,159,2013-07-25,"javascript embeddable / in-memory database",https://github.com/techfort/LokiJS,False,techfort,JavaScript,
sinonjs/fake-timers,806,107,16,2014-02-04,"Fake setTimeout and friends (collectively known as 'timers'). Useful in your JavaScript tests. Extracted from Sinon.JS",https://github.com/sinonjs/fake-timers,True,sinonjs,JavaScript,
dcodeIO/long.js,889,205,23,2013-03-10,"A Long class for representing a 64-bit two's-complement integer value.",https://github.com/dcodeIO/long.js,False,dcodeIO,JavaScript,
wooorm/longest-streak,9,0,4,2015-07-12,"Count the longest repeating streak of a substring",https://github.com/wooorm/longest-streak,False,wooorm,JavaScript,
ryanflorence/loom,93,6,6,2011-05-05,"Weave your wefts betwixt the warps of loom generators and scaffolds",https://github.com/ryanflorence/loom,False,ryanflorence,JavaScript,
zertosh/loose-envify,282,27,5,2015-09-05,"Like envify but much faster",https://github.com/zertosh/loose-envify,False,zertosh,JavaScript,
mwilliamson/lop,7,0,3,2012-02-18,"Parsing for JavaScript",https://github.com/mwilliamson/lop,False,mwilliamson,JavaScript,
airbnb/lottie-web,30579,2874,453,2015-02-20,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/",https://github.com/airbnb/lottie-web,True,airbnb,JavaScript,
